degree_to,thickness,deduction_value
22.5,1,-14.3
37.5,1,-14.3
52.5,1,-7.5
67.5,1,-4.7
82.5,1,-3
97.5,1,-2
112.5,1,-1.3
127.5,1,-0.9
142.5,1,-0.6
157.5,1,-0.3
172.5,1,-0.3
180,1,0
22.5,1.5,-18.5
37.5,1.5,-18.5
52.5,1.5,-9.8
67.5,1.5,-6.3
82.5,1.5,-4.2
97.5,1.5,-3
112.5,1.5,-2.1
127.5,1.5,-1.7
142.5,1.5,-1.2
157.5,1.5,-0.7
172.5,1.5,-1.4
180,1.5,0
22.5,2,-11.2
37.5,2,-11.2
52.5,2,-11.2
67.5,2,-7.8
82.5,2,-5.6
97.5,2,-4
112.5,2,-2.7
127.5,2,-1.7
142.5,2,-1
157.5,2,-0.6
172.5,2,-0.4
180,2,0
22.5,3,-16
37.5,3,-16
52.5,3,-16
67.5,3,-9.8
82.5,3,-6.6
97.5,3,-5
112.5,3,-3.5
127.5,3,-2
142.5,3,-1
157.5,3,-0.5
172.5,3,0
180,3,0
22.5,4,-13.2
37.5,4,-13.2
52.5,4,-13.2
67.5,4,-13.2
82.5,4,-9.6
97.5,4,-7
112.5,4,-4.6
127.5,4,-3.3
142.5,4,-2.2
157.5,4,-1.3
172.5,4,-0.6
180,4,0
22.5,5,-15
37.5,5,-15
52.5,5,-15
67.5,5,-15
82.5,5,-11.9
97.5,5,-10
112.5,5,-6.2
127.5,5,-4.3
142.5,5,-2.8
157.5,5,-1.7
172.5,5,-0.6
180,5,0
22.5,6,-10
37.5,6,-10
52.5,6,-10
67.5,6,-10
82.5,6,-10
97.5,6,-10
112.5,6,-9
127.5,6,-6
142.5,6,-4
157.5,6,-3
172.5,6,-1
180,6,0
22.5,7,0
37.5,7,0
52.5,7,0
67.5,7,0
82.5,7,0
97.5,7,0
112.5,7,0
127.5,7,0
142.5,7,0
157.5,7,0
172.5,7,0
180,7,0
22.5,8,0
37.5,8,0
52.5,8,0
67.5,8,0
82.5,8,0
97.5,8,0
112.5,8,0
127.5,8,0
142.5,8,0
157.5,8,0
172.5,8,0
180,8,0
